date,open,high,low,close,volume,marketcap,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
13/6/19,8145.55,8311.57,8087.06,8230.92,18669407147,1.4616E+11,7.46E+12,1.260088069,14029123.84,42.71129818,328464,48577778.94,42.71129818,2507.358779
12/6/19,7925.43,8196.65,7862.36,8145.86,19034432883,1.44635E+11,7.46E+12,1.258056077,15022485.45,44.12550909,340449,53027651.82,44.12550909,2380.762238
11/6/19,8004.24,8026.39,7772.8,7927.71,17107279932,1.40749E+11,7.46E+12,1.150810567,16133019.48,45.62131353,353629,58219170.18,45.62131353,2252.414013
10/6/19,7692.28,8031.91,7586.73,8000.33,18689275117,1.42023E+11,7.46E+12,0.927426061,14857595.53,49.37439735,300917,54510942.78,49.37439735,2047.054422
9/6/19,7949.67,7975.97,7583.22,7688.08,16610726547,1.36465E+11,7.46E+12,1.143843968,12891499.14,43.793671,294369,45982019.76,43.793671,2373.943548
8/6/19,8036.77,8076.89,7837.61,7954.13,16522722810,1.41173E+11,7.46E+12,1.187780804,16487387.36,47.10534059,350011,58589992.92,47.10534059,2215.259494
7/6/19,7826.9,8126.15,7788.37,8043.95,19141423231,1.42755E+11,7.46E+12,1.158709758,16170851.27,44.36131105,364526,58219170.18,44.36131105,2321.821656
6/6/19,7819.63,7937.34,7571.47,7822.02,19474611077,1.38801E+11,7.46E+12,1.239725519,16769434.38,44.96453764,372948,59331638.4,44.96453764,2330.925
5/6/19,7704.34,7901.85,7668.67,7824.23,21760923463,1.38825E+11,7.46E+12,1.253258474,16818472.03,44.8776214,374763,57106701.96,44.8776214,2433.525974
4/6/19,8210.99,8210.99,7564.49,7707.77,24609731549,1.36743E+11,7.46E+12,1.256748504,14413061,49.0225163,294009,44127906.06,49.0225163,2470.663866
3/6/19,8741.75,8743.5,8204.19,8208.99,22004511436,1.45619E+11,7.46E+12,1.200579634,15212884.41,50.54064049,301003,48577778.94,50.54064049,2297.732824
2/6/19,8565.47,8809.3,8561.24,8742.96,20266216022,1.55077E+11,7.46E+12,1.244086252,17486915.28,52.6568399,332092,55994233.74,52.6568399,2199.284768
1/6/19,8573.84,8625.6,8481.58,8564.02,22488303544,1.5189E+11,7.46E+12,1.291766803,13911879.63,46.52849236,298997,43386260.58,46.52849236,2555.529915
31/5/19,8320.29,8586.66,8172.55,8574.5,25365190957,1.5206E+11,6.75E+12,1.213646113,18910243.46,50.17656686,376874,59331638.4,50.17656686,2355.4625
30/5/19,8661.76,9008.31,8221.27,8319.47,29246528551,1.47525E+11,6.70E+12,1.224251023,20423035.64,50.40795656,405155,57992303.11,50.40795656,2328.477011
29/5/19,8718.59,8755.85,8482.73,8659.49,23473479966,1.53537E+11,6.70E+12,1.262846012,19576247.92,50.14060994,390427,54659412.12,50.14060994,2380.652439
28/5/19,8802.76,8807.02,8634.72,8719.96,24226919267,1.5459E+11,6.70E+12,1.190717216,19990355.15,50.0279169,399584,55659279.42,50.0279169,2392.718563
27/5/19,8674.07,8907.17,8668.7,8805.78,27949839564,1.56094E+11,6.70E+12,1.00135643,17515157.83,46.82295875,374072,54992701.22,46.82295875,2267.10303
26/5/19,8055.21,8687.52,7924.67,8673.22,26677970091,1.53725E+11,6.70E+12,1.177713414,15111546.14,44.65613313,338398,46660473.76,44.65613313,2417.128571
25/5/19,7991.89,8117.93,7965.98,8052.54,22256813107,1.42708E+11,6.70E+12,1.254131843,16777656.01,44.87420097,373882,50993232.04,44.87420097,2443.673203
24/5/19,7881.7,8140.72,7824.45,7987.37,25919126991,1.41539E+11,6.70E+12,1.226995165,16445471.64,42.23903252,389343,52659677.53,42.23903252,2464.196203
23/5/19,7677.27,7943.79,7533.2,7881.85,24457107820,1.39654E+11,6.70E+12,1.201243293,17879582.37,45.27771836,394887,55659279.42,45.27771836,2364.592814
22/5/19,7956.29,7997.61,7615.99,7680.07,24719473175,1.36064E+11,6.70E+12,1.258643059,16824271.78,44.17106239,380889,50993232.04,44.17106239,2489.470588
21/5/19,7977.97,8062.17,7843.34,7963.33,25127245056,1.41066E+11,6.70E+12,1.177317634,17427652.91,45.67210432,381582,53659544.83,45.67210432,2370.074534
20/5/19,8196.92,8200.97,7678.78,7978.31,23843404340,1.41316E+11,6.70E+12,1.124021644,17078047.15,49.23628087,346859,54326123.03,49.23628087,2127.969325
19/5/19,7267.96,8261.94,7267.96,8197.69,25902422040,1.45185E+11,6.70E+12,1.242334013,15024060.63,41.7678442,359704,50993232.04,41.7678442,2351.006536
18/5/19,7341.66,7447.27,7251.5,7271.21,21354286562,1.28762E+11,6.70E+12,1.261404709,15365816.57,42.48761681,361654,50308167.48,42.48761681,2395.059603
17/5/19,7886.93,7929.15,7038.12,7343.9,30066644905,1.30035E+11,6.70E+12,1.245267137,16386183.3,43.6892655,375062,48642334.12,43.6892655,2568.917808
16/5/19,8194.5,8320.82,7729.61,7884.91,33167197581,1.396E+11,6.70E+12,1.237726027,16570169.52,44.91765954,368901,49641834.14,44.91765954,2475.845638
15/5/19,7989.37,8216.42,7899.11,8205.17,28344112920,1.45254E+11,6.70E+12,1.230687118,16272176.47,44.29369973,367370,50641334.15,44.29369973,2416.907895
