date,close,volume,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
1/1/18,13657.2,10291200000,1.87E+12,1.037056969,35435185.86,125.9706384,290422,15177350.25,122.0127465,1781.730061
2/1/18,14982.1,16846600192,1.92E+12,1.0433825,32334328.99,138.227164,241757,14975580.96,133.7472296,1549.724359
3/1/18,15201,16871900160,1.93E+12,1.041367596,40553327.64,122.6356244,340980,16415540.67,118.93169,1994.035088
4/1/18,15599.2,21783199744,1.93E+12,1.06551321,39612658.08,103.1087188,395963,15071578.27,100.0413121,2522.057325
5/1/18,17429.5,23840899072,1.93E+12,1.065832702,42527795.29,102.9338557,425008,16127548.73,100.0635171,2529.809524
6/1/18,17527,18314600448,1.93E+12,1.067635797,41569957.46,124.7243621,342707,13727615.88,121.298828,2396.552448
7/1/18,16477.6,15866000384,1.93E+12,1.054609161,46900388.18,134.8711739,358847,16127548.73,130.697451,2135.994048
8/1/18,15170.1,18413899776,1.93E+12,1.047738315,43826673.43,122.6117109,368187,15551564.84,119.033734,2272.759259
9/1/18,14595.4,16659999744,1.93E+12,1.050648337,41050023.03,122.3105476,345672,15935554.1,118.7542613,2082.361446
10/1/18,14973.3,18500800512,1.93E+12,1.054599348,39993340.56,114.4587772,360265,15743559.47,111.0108963,2196.737805
11/1/18,13405.8,16534099968,1.93E+12,1.058194976,41068171.48,121.7157802,347393,15935554.1,118.2181894,2092.728916
12/1/18,13980.6,12065699840,1.93E+12,1.057117456,40136372.69,122.3587554,337959,18527481.57,118.7610707,1751.082902
13/1/18,14360.2,12763599872,1.93E+12,1.054668758,38260425.5,131.790878,300091,17087521.86,127.4960779,1685.904494
14/1/18,13772,11084099584,2.13E+12,1.014637591,33603224.7,130.462565,265735,16501289.11,126.4538909,1783.456376
15/1/18,13819.8,12750799872,2.23E+12,1.050657768,32575141.38,143.1483801,235045,17165770.55,138.5910842,1516.419355
16/1/18,11490.5,18853799936,2.23E+12,1.059330047,32326136.17,122.1415435,273623,16612036.02,118.141151,1824.153333
17/1/18,11188.6,18830600192,2.23E+12,1.05005422,28025172.32,95.48833801,303725,17608758.18,92.27153617,1910.220126
18/1/18,11474.9,15020399616,2.23E+12,1.062211413,29865677.22,97.25921641,315771,18494733.44,94.58017747,1890.844311
19/1/18,11607.4,10740400128,2.23E+12,1.050848873,31046750.95,103.3530706,309495,19159214.88,100.3142246,1788.988439
20/1/18,12899.2,11801700352,2.23E+12,1.048356521,28241982.9,119.7476283,243619,18273239.62,115.9268485,1476.478788
21/1/18,11600.1,9935179776,2.23E+12,1.10656859,33309440.45,142.872218,240611,19712949.41,138.436898,1351.747191
22/1/18,10931.4,10537400320,2.23E+12,1.077492856,29815798.36,143.0463337,215622,20709671.57,138.2780902,1153.058824
23/1/18,10868.4,9660609536,2.23E+12,1.081038102,24447639.64,103.1482879,245562,18494733.44,99.5579106,1470.431138
